Sample	theta_WAM	theta_CAM	theta_ATL	theta_AM	theta_root	tau_AM	tau_root	m_AM->ATL	Data-ld-ln	Full-ld-ln
103103	 0.00004	 0.00007	 0.00000	 0.00002	 0.01828	 0.00000	 0.00000	 0.00000		222.862114	-2872.866022
104104	 0.00010	 0.00015	 0.00001	 0.00003	 0.01675	 0.00001	 0.00001	 0.00000		210.495241	-2828.563378
105105	 0.00008	 0.00012	 0.00001	 0.00006	 0.01827	 0.00001	 0.00001	 0.00000		203.792267	-2794.661802
106106	 0.00014	 0.00017	 0.00002	 0.00005	 0.01672	 0.00001	 0.00001	 0.00000		200.893912	-2829.277099
107107	 0.00012	 0.00009	 0.00001	 0.00001	 0.01711	 0.00001	 0.00001	 0.00000		223.233497	-2820.679124
108108	 0.00012	 0.00018	 0.00002	 0.00016	 0.01952	 0.00001	 0.00001	 0.00000		195.453525	-2891.129127
109109	 0.00029	 0.00038	 0.00002	 0.00004	 0.01635	 0.00001	 0.00001	 0.00000		193.785883	-2856.992935
110110	 0.00020	 0.00050	 0.00004	 0.00014	 0.01586	 0.00002	 0.00002	 0.00000		191.721873	-2854.862975
111111	 0.00021	 0.00030	 0.00002	 0.00011	 0.01702	 0.00001	 0.00002	 0.00000		192.398097	-2763.990495
112112	 0.00010	 0.00020	 0.00001	 0.00024	 0.01813	 0.00001	 0.00001	 0.00000		192.381479	-2796.298212
113113	 0.00008	 0.00016	 0.00001	 0.00014	 0.01683	 0.00001	 0.00001	 0.00000		200.600209	-2815.553481
114114	 0.00006	 0.00009	 0.00001	 0.00012	 0.01837	 0.00000	 0.00000	 0.00000		204.186608	-2852.470046
115115	 0.00004	 0.00011	 0.00001	 0.00009	 0.01738	 0.00000	 0.00001	 0.00000		210.440464	-2871.283509
116116	 0.00009	 0.00013	 0.00001	 0.00004	 0.01835	 0.00001	 0.00001	 0.00000		202.894608	-2803.937678
117117	 0.00008	 0.00015	 0.00001	 0.00006	 0.01837	 0.00001	 0.00001	 0.00000		202.945235	-2740.648595
118118	 0.00009	 0.00015	 0.00001	 0.00004	 0.01699	 0.00001	 0.00001	 0.00000		209.470035	-2894.111627
119119	 0.00007	 0.00015	 0.00001	 0.00009	 0.01732	 0.00001	 0.00001	 0.00000		206.363118	-2872.109416
120120	 0.00006	 0.00010	 0.00001	 0.00006	 0.01788	 0.00000	 0.00001	 0.00000		213.268374	-2791.979497
121121	 0.00007	 0.00016	 0.00001	 0.00016	 0.01843	 0.00001	 0.00001	 0.00000		198.666298	-2704.883769
122122	 0.00009	 0.00020	 0.00002	 0.00009	 0.01668	 0.00001	 0.00001	 0.00000		198.111070	-2838.166238
123123	 0.00004	 0.00013	 0.00001	 0.00009	 0.01721	 0.00000	 0.00000	 0.00000		205.660871	-2774.493536
124124	 0.00006	 0.00010	 0.00001	 0.00008	 0.01785	 0.00000	 0.00000	 0.00000		197.816768	-2881.577269
125125	 0.00008	 0.00011	 0.00001	 0.00012	 0.01789	 0.00000	 0.00000	 0.00000		199.723391	-2771.459233
126126	 0.00010	 0.00035	 0.00001	 0.00011	 0.01803	 0.00001	 0.00001	 0.00000		187.482505	-2765.752317
127127	 0.00005	 0.00027	 0.00001	 0.00016	 0.01685	 0.00000	 0.00001	 0.00000		196.311517	-2846.360834
128128	 0.00009	 0.00018	 0.00002	 0.00014	 0.01725	 0.00001	 0.00001	 0.00000		202.225909	-2788.540854
129129	 0.00025	 0.00031	 0.00003	 0.00022	 0.01807	 0.00002	 0.00002	 0.00000		189.672739	-2837.409694
130130	 0.00019	 0.00043	 0.00004	 0.00016	 0.01738	 0.00002	 0.00002	 0.00000		193.615125	-2830.007240
131131	 0.00014	 0.00039	 0.00003	 0.00011	 0.01775	 0.00001	 0.00002	 0.00000		203.419605	-2797.112549
132132	 0.00012	 0.00022	 0.00004	 0.00022	 0.01639	 0.00001	 0.00002	 0.00000		196.670349	-2803.699456
133133	 0.00004	 0.00011	 0.00001	 0.00013	 0.01917	 0.00000	 0.00001	 0.00000		214.926634	-2743.174036
134134	 0.00003	 0.00007	 0.00001	 0.00021	 0.01790	 0.00000	 0.00001	 0.00000		208.241079	-2788.081688
135135	 0.00004	 0.00006	 0.00001	 0.00019	 0.01725	 0.00000	 0.00001	 0.00000		211.818675	-2823.572725
136136	 0.00004	 0.00005	 0.00001	 0.00010	 0.01829	 0.00000	 0.00000	 0.00000		218.905089	-2769.762127
137137	 0.00007	 0.00016	 0.00002	 0.00021	 0.01542	 0.00001	 0.00001	 0.00000		197.747653	-2926.689570
138138	 0.00015	 0.00024	 0.00002	 0.00028	 0.01773	 0.00001	 0.00001	 0.00000		191.833530	-2848.552328
139139	 0.00010	 0.00013	 0.00002	 0.00009	 0.01707	 0.00001	 0.00001	 0.00000		214.501921	-2828.948766
140140	 0.00003	 0.00009	 0.00001	 0.00011	 0.01753	 0.00000	 0.00001	 0.00000		211.452229	-2849.850973
141141	 0.00003	 0.00004	 0.00001	 0.00008	 0.01799	 0.00000	 0.00000	 0.00000		221.243749	-2799.776882
142142	 0.00003	 0.00004	 0.00001	 0.00015	 0.01974	 0.00000	 0.00000	 0.00000		209.240988	-2782.659610
143143	 0.00006	 0.00006	 0.00001	 0.00017	 0.01904	 0.00000	 0.00001	 0.00000		204.065599	-2754.331889
144144	 0.00003	 0.00007	 0.00001	 0.00013	 0.01659	 0.00000	 0.00001	 0.00000		216.711882	-2906.916827
145145	 0.00001	 0.00006	 0.00000	 0.00007	 0.01981	 0.00000	 0.00000	 0.00000		226.004708	-2857.514332
146146	 0.00003	 0.00005	 0.00001	 0.00020	 0.01877	 0.00000	 0.00001	 0.00000		210.083944	-2783.550778
147147	 0.00005	 0.00009	 0.00002	 0.00014	 0.01860	 0.00000	 0.00001	 0.00000		208.396339	-2804.045724
148148	 0.00004	 0.00006	 0.00001	 0.00032	 0.01751	 0.00000	 0.00001	 0.00000		214.211093	-2745.939238
149149	 0.00003	 0.00005	 0.00001	 0.00010	 0.01741	 0.00000	 0.00000	 0.00000		220.145778	-2746.957437
150150	 0.00002	 0.00005	 0.00001	 0.00027	 0.01820	 0.00000	 0.00001	 0.00000		210.094121	-2782.596494
151151	 0.00002	 0.00006	 0.00000	 0.00009	 0.01647	 0.00000	 0.00000	 0.00000		220.187579	-2898.395319
152152	 0.00001	 0.00002	 0.00000	 0.00003	 0.01792	 0.00000	 0.00000	 0.00000		232.613818	-2815.058292
153153	 0.00003	 0.00012	 0.00001	 0.00027	 0.01884	 0.00000	 0.00001	 0.00000		201.626993	-2763.329304
154154	 0.00006	 0.00009	 0.00001	 0.00028	 0.01769	 0.00000	 0.00001	 0.00000		201.433958	-2706.448691
155155	 0.00005	 0.00009	 0.00001	 0.00030	 0.01953	 0.00000	 0.00001	 0.00000		200.926429	-2822.047795
156156	 0.00004	 0.00007	 0.00001	 0.00018	 0.01603	 0.00000	 0.00001	 0.00000		210.464575	-2881.721157
157157	 0.00005	 0.00008	 0.00002	 0.00027	 0.01823	 0.00000	 0.00001	 0.00000		204.859445	-2771.711899
158158	 0.00001	 0.00005	 0.00001	 0.00010	 0.01703	 0.00000	 0.00000	 0.00000		227.012599	-2837.386003
159159	 0.00002	 0.00004	 0.00000	 0.00006	 0.01775	 0.00000	 0.00000	 0.00000		226.341066	-2697.671648
160160	 0.00002	 0.00007	 0.00001	 0.00012	 0.01775	 0.00000	 0.00000	 0.00000		220.806160	-2717.202473
161161	 0.00005	 0.00011	 0.00001	 0.00016	 0.01869	 0.00000	 0.00001	 0.00000		203.716976	-2882.781546
162162	 0.00001	 0.00002	 0.00001	 0.00009	 0.01755	 0.00000	 0.00000	 0.00000		225.539471	-2803.902921
163163	 0.00001	 0.00002	 0.00000	 0.00007	 0.01584	 0.00000	 0.00000	 0.00000		230.689249	-2839.947532
164164	 0.00002	 0.00006	 0.00000	 0.00008	 0.01800	 0.00000	 0.00000	 0.00000		213.808084	-2769.837483
165165	 0.00003	 0.00007	 0.00000	 0.00008	 0.01850	 0.00000	 0.00000	 0.00000		210.069861	-2775.236555
166166	 0.00001	 0.00004	 0.00000	 0.00010	 0.01863	 0.00000	 0.00000	 0.00000		217.365222	-2764.835356
167167	 0.00001	 0.00001	 0.00000	 0.00007	 0.01721	 0.00000	 0.00000	 0.00000		233.782056	-2832.795340
168168	 0.00001	 0.00001	 0.00001	 0.00011	 0.01761	 0.00000	 0.00000	 0.00000		226.637210	-2882.434024
169169	 0.00001	 0.00002	 0.00001	 0.00012	 0.01769	 0.00000	 0.00000	 0.00000		225.154689	-2839.736562
170170	 0.00002	 0.00006	 0.00001	 0.00014	 0.01884	 0.00000	 0.00000	 0.00000		213.571990	-2804.419987
171171	 0.00001	 0.00003	 0.00000	 0.00013	 0.01733	 0.00000	 0.00000	 0.00000		216.967984	-2767.677681
172172	 0.00001	 0.00003	 0.00000	 0.00019	 0.01780	 0.00000	 0.00000	 0.00000		215.821261	-2831.258528
173173	 0.00000	 0.00004	 0.00000	 0.00003	 0.01807	 0.00000	 0.00000	 0.00000		237.295234	-2816.486462
174174	 0.00000	 0.00001	 0.00000	 0.00006	 0.01717	 0.00000	 0.00000	 0.00000		236.835665	-2791.321589
175175	 0.00001	 0.00008	 0.00000	 0.00004	 0.01797	 0.00000	 0.00000	 0.00000		230.538552	-2827.702374
176176	 0.00002	 0.00002	 0.00000	 0.00004	 0.01858	 0.00000	 0.00000	 0.00000		225.406044	-2836.204603
177177	 0.00002	 0.00003	 0.00000	 0.00005	 0.01678	 0.00000	 0.00000	 0.00000		224.279483	-2756.179623
178178	 0.00003	 0.00006	 0.00001	 0.00022	 0.01795	 0.00000	 0.00001	 0.00000		212.948563	-2886.757189
179179	 0.00005	 0.00004	 0.00001	 0.00011	 0.01810	 0.00000	 0.00001	 0.00000		215.981535	-2761.260450
180180	 0.00003	 0.00011	 0.00001	 0.00016	 0.01881	 0.00000	 0.00000	 0.00000		206.417160	-2783.361924
181181	 0.00003	 0.00005	 0.00001	 0.00004	 0.01631	 0.00000	 0.00000	 0.00000		221.917891	-2854.203488
182182	 0.00005	 0.00003	 0.00000	 0.00002	 0.01909	 0.00000	 0.00000	 0.00000		220.986159	-2853.236134
183183	 0.00002	 0.00004	 0.00000	 0.00004	 0.01501	 0.00000	 0.00000	 0.00000		223.707799	-2930.242259
184184	 0.00001	 0.00004	 0.00000	 0.00003	 0.01762	 0.00000	 0.00000	 0.00000		243.163648	-2803.685419
185185	 0.00001	 0.00003	 0.00000	 0.00010	 0.01658	 0.00000	 0.00000	 0.00000		226.727080	-2812.557549
186186	 0.00002	 0.00012	 0.00000	 0.00036	 0.01716	 0.00000	 0.00000	 0.00000		207.049208	-2894.768547
187187	 0.00003	 0.00005	 0.00001	 0.00008	 0.01938	 0.00000	 0.00000	 0.00000		213.530491	-2743.993844
188188	 0.00001	 0.00010	 0.00000	 0.00005	 0.01663	 0.00000	 0.00000	 0.00000		220.795836	-2923.763218
189189	 0.00001	 0.00002	 0.00000	 0.00007	 0.01632	 0.00000	 0.00000	 0.00000		224.449909	-2775.614757
190190	 0.00001	 0.00003	 0.00000	 0.00005	 0.01787	 0.00000	 0.00000	 0.00000		225.553500	-2787.637510
191191	 0.00001	 0.00002	 0.00000	 0.00008	 0.01681	 0.00000	 0.00000	 0.00000		224.279512	-2839.670401
192192	 0.00001	 0.00002	 0.00000	 0.00022	 0.01835	 0.00000	 0.00000	 0.00000		219.363144	-2851.650666
193193	 0.00001	 0.00001	 0.00000	 0.00015	 0.01725	 0.00000	 0.00000	 0.00000		229.100262	-2786.497928
