Sample	theta_WAM	theta_CAM	theta_ATL	theta_AM	theta_root	tau_AM	tau_root	m_ATL->AM	m_AM->ATL	Data-ld-ln	Full-ld-ln
113113	 0.00010	 0.00013	 0.00007	 0.00010	 0.02507	 0.00001	 0.00002	 0.00000	 0.00000		210.522303	-3691.894077
114114	 0.00005	 0.00013	 0.00005	 0.00015	 0.02455	 0.00000	 0.00002	 0.00000	 0.00000		210.554282	-3685.765175
115115	 0.00005	 0.00006	 0.00005	 0.00031	 0.02387	 0.00000	 0.00002	 0.00000	 0.00000		197.927195	-3680.400603
116116	 0.00009	 0.00007	 0.00007	 0.00028	 0.02112	 0.00000	 0.00002	 0.00000	 0.00000		195.029523	-3751.193338
117117	 0.00027	 0.00023	 0.00018	 0.00074	 0.02192	 0.00001	 0.00006	 0.00000	 0.00000		176.814559	-3867.982622
118118	 0.00008	 0.00006	 0.00007	 0.00017	 0.02272	 0.00000	 0.00002	 0.00000	 0.00000		207.548668	-3679.739485
119119	 0.00002	 0.00002	 0.00004	 0.00013	 0.02469	 0.00000	 0.00001	 0.00000	 0.00000		217.482718	-3824.396256
120120	 0.00002	 0.00002	 0.00010	 0.00034	 0.02729	 0.00000	 0.00003	 0.00000	 0.00000		202.413226	-3650.249669
121121	 0.00001	 0.00001	 0.00007	 0.00024	 0.02391	 0.00000	 0.00002	 0.00000	 0.00000		214.052619	-3903.861486
122122	 0.00002	 0.00002	 0.00008	 0.00028	 0.02433	 0.00000	 0.00003	 0.00000	 0.00000		210.741302	-3541.831636
123123	 0.00003	 0.00002	 0.00011	 0.00030	 0.02379	 0.00000	 0.00003	 0.00000	 0.00000		200.017034	-3734.451834
124124	 0.00002	 0.00001	 0.00006	 0.00024	 0.02386	 0.00000	 0.00002	 0.00000	 0.00000		213.248017	-3666.400462
125125	 0.00000	 0.00002	 0.00003	 0.00011	 0.02368	 0.00000	 0.00001	 0.00000	 0.00000		227.110489	-3731.723727
126126	 0.00001	 0.00001	 0.00004	 0.00020	 0.02285	 0.00000	 0.00001	 0.00000	 0.00000		217.468721	-3770.248786
127127	 0.00002	 0.00002	 0.00004	 0.00010	 0.02285	 0.00000	 0.00001	 0.00000	 0.00000		220.759969	-3785.105621
128128	 0.00011	 0.00004	 0.00011	 0.00035	 0.02367	 0.00000	 0.00004	 0.00000	 0.00000		197.207983	-3733.190592
129129	 0.00001	 0.00002	 0.00003	 0.00019	 0.02332	 0.00000	 0.00001	 0.00000	 0.00000		212.500501	-3687.305168
130130	 0.00003	 0.00004	 0.00008	 0.00027	 0.02331	 0.00000	 0.00003	 0.00000	 0.00000		202.003917	-3730.767920
131131	 0.00004	 0.00017	 0.00013	 0.00060	 0.02376	 0.00000	 0.00004	 0.00000	 0.00000		181.587510	-3787.901431
132132	 0.00004	 0.00005	 0.00014	 0.00068	 0.02321	 0.00000	 0.00005	 0.00000	 0.00000		187.646548	-3684.759520
133133	 0.00005	 0.00005	 0.00010	 0.00027	 0.02278	 0.00000	 0.00003	 0.00000	 0.00000		206.831069	-3592.731601
134134	 0.00006	 0.00004	 0.00008	 0.00028	 0.02562	 0.00000	 0.00002	 0.00000	 0.00000		197.302497	-3607.358940
135135	 0.00011	 0.00017	 0.00017	 0.00065	 0.02317	 0.00001	 0.00006	 0.00000	 0.00000		186.329337	-3788.832270
136136	 0.00023	 0.00014	 0.00016	 0.00054	 0.02321	 0.00001	 0.00005	 0.00000	 0.00000		181.215728	-3763.338609
137137	 0.00007	 0.00012	 0.00009	 0.00023	 0.02345	 0.00000	 0.00002	 0.00000	 0.00000		197.757820	-3683.830604
