Sample	theta_WAM	theta_CAM	theta_ATL	theta_AM	theta_root	tau_AM	tau_root	m_ATL->AM	Data-ld-ln	Full-ld-ln
91091	 0.00007	 0.00018	 0.00004	 0.00009	 0.01712	 0.00001	 0.00001	 0.00000		200.956467	-2554.077335
92092	 0.00004	 0.00010	 0.00003	 0.00021	 0.01453	 0.00000	 0.00001	 0.00000		202.281433	-2559.138254
93093	 0.00005	 0.00014	 0.00002	 0.00005	 0.01526	 0.00001	 0.00001	 0.00000		204.790412	-2575.543826
94094	 0.00003	 0.00008	 0.00002	 0.00010	 0.01525	 0.00000	 0.00001	 0.00000		209.688923	-2604.895509
95095	 0.00007	 0.00019	 0.00003	 0.00011	 0.01581	 0.00001	 0.00001	 0.00000		195.945338	-2516.447547
96096	 0.00005	 0.00017	 0.00003	 0.00015	 0.01740	 0.00001	 0.00001	 0.00000		199.209305	-2538.456471
97097	 0.00005	 0.00023	 0.00002	 0.00026	 0.01611	 0.00000	 0.00001	 0.00000		189.332278	-2576.749617
98098	 0.00003	 0.00011	 0.00002	 0.00016	 0.01525	 0.00000	 0.00001	 0.00000		207.145692	-2589.274780
99099	 0.00004	 0.00008	 0.00003	 0.00012	 0.01729	 0.00000	 0.00001	 0.00000		217.348961	-2469.611744
100100	 0.00002	 0.00006	 0.00002	 0.00014	 0.01542	 0.00000	 0.00001	 0.00000		213.346979	-2526.547996
101101	 0.00003	 0.00007	 0.00004	 0.00042	 0.01692	 0.00000	 0.00001	 0.00000		196.237024	-2542.480500
102102	 0.00002	 0.00013	 0.00003	 0.00016	 0.01643	 0.00000	 0.00001	 0.00000		203.699162	-2475.474869
103103	 0.00001	 0.00008	 0.00002	 0.00023	 0.01602	 0.00000	 0.00001	 0.00000		202.449571	-2590.782274
104104	 0.00002	 0.00006	 0.00002	 0.00016	 0.01607	 0.00000	 0.00001	 0.00000		205.466117	-2598.732863
105105	 0.00002	 0.00008	 0.00004	 0.00018	 0.01562	 0.00000	 0.00001	 0.00000		209.089592	-2596.605539
106106	 0.00007	 0.00011	 0.00005	 0.00030	 0.01488	 0.00001	 0.00002	 0.00000		202.692622	-2646.303631
107107	 0.00006	 0.00015	 0.00006	 0.00033	 0.01669	 0.00000	 0.00002	 0.00000		193.881780	-2576.478801
108108	 0.00007	 0.00013	 0.00004	 0.00018	 0.01641	 0.00001	 0.00001	 0.00000		199.278578	-2656.901405
109109	 0.00008	 0.00025	 0.00003	 0.00012	 0.01624	 0.00001	 0.00001	 0.00000		202.411283	-2544.664823
