Sample	theta_WAM	theta_CAM	theta_ATL	theta_AM	theta_root	tau_AM	tau_root	Data-ld-ln	Full-ld-ln
82082	 0.00005	 0.00008	 0.00003	 0.00007	 0.01247	 0.00001	 0.00001		223.302619	-2143.985954
83083	 0.00003	 0.00005	 0.00002	 0.00006	 0.01413	 0.00000	 0.00001		223.562344	-2164.018902
84084	 0.00006	 0.00008	 0.00002	 0.00005	 0.01310	 0.00001	 0.00001		218.760651	-2148.101121
85085	 0.00011	 0.00013	 0.00005	 0.00008	 0.01468	 0.00001	 0.00001		209.011861	-2125.938250
86086	 0.00009	 0.00012	 0.00005	 0.00012	 0.01188	 0.00001	 0.00002		210.732034	-2201.724387
87087	 0.00008	 0.00018	 0.00005	 0.00007	 0.01528	 0.00001	 0.00001		206.134037	-2101.282028
88088	 0.00014	 0.00021	 0.00006	 0.00007	 0.01296	 0.00002	 0.00002		204.763690	-2097.435130
89089	 0.00016	 0.00025	 0.00007	 0.00008	 0.01358	 0.00002	 0.00002		201.502815	-2134.537333
90090	 0.00016	 0.00020	 0.00008	 0.00018	 0.01205	 0.00002	 0.00003		202.222433	-2269.289561
91091	 0.00009	 0.00014	 0.00005	 0.00022	 0.01233	 0.00001	 0.00002		200.369475	-2133.001103
92092	 0.00011	 0.00021	 0.00005	 0.00009	 0.01349	 0.00001	 0.00002		203.078039	-2161.892556
93093	 0.00005	 0.00006	 0.00002	 0.00007	 0.01338	 0.00001	 0.00001		217.394754	-2211.540280
94094	 0.00008	 0.00007	 0.00003	 0.00009	 0.01305	 0.00001	 0.00001		225.078767	-2107.012470
95095	 0.00013	 0.00016	 0.00005	 0.00008	 0.01406	 0.00001	 0.00002		201.420265	-2222.882997
96096	 0.00008	 0.00028	 0.00004	 0.00005	 0.01382	 0.00001	 0.00001		207.869738	-2199.208819
97097	 0.00006	 0.00022	 0.00003	 0.00019	 0.01394	 0.00001	 0.00001		202.162196	-2095.296525
98098	 0.00033	 0.00055	 0.00019	 0.00018	 0.01434	 0.00005	 0.00006		182.052985	-2162.829085
99099	 0.00007	 0.00011	 0.00004	 0.00014	 0.01241	 0.00001	 0.00001		210.205220	-2217.548847
100100	 0.00009	 0.00008	 0.00007	 0.00019	 0.01287	 0.00001	 0.00002		209.445192	-2181.975060
101101	 0.00024	 0.00039	 0.00011	 0.00022	 0.01380	 0.00003	 0.00004		191.007962	-2123.558213
102102	 0.00007	 0.00015	 0.00006	 0.00027	 0.01335	 0.00001	 0.00002		208.732011	-2110.290182
103103	 0.00010	 0.00008	 0.00004	 0.00047	 0.01182	 0.00001	 0.00001		204.477802	-2213.389114
104104	 0.00004	 0.00010	 0.00004	 0.00017	 0.01372	 0.00000	 0.00001		207.252331	-2106.361456
105105	 0.00003	 0.00004	 0.00003	 0.00015	 0.01309	 0.00000	 0.00001		222.815060	-2121.447800
106106	 0.00003	 0.00006	 0.00003	 0.00018	 0.01211	 0.00000	 0.00001		214.495480	-2207.476251
107107	 0.00002	 0.00004	 0.00002	 0.00014	 0.01453	 0.00000	 0.00001		225.343038	-2136.950745
108108	 0.00005	 0.00008	 0.00005	 0.00031	 0.01218	 0.00001	 0.00002		208.401927	-2113.021783
109109	 0.00002	 0.00003	 0.00002	 0.00011	 0.01391	 0.00000	 0.00001		231.583487	-2108.522561
